resp_id,aes_canton,aes_langreg,t0sex,t0fmedu_comp,t0immig,t1bqvalids,t2bqvalids,t3bqvalids,t1wt,t2wt,t3wt,t0hisei08_3q,t0wlem_3q,t0st_nprog_req3,t1educ_class_1_r,t2educ_class_1_r,t3educ_class_1_r
8012562,Vaud (VD),French,Female,Compulsory schooling only,"Second generation (respondent born in Switzerland, no parent born in Switzerland)",Valid response,Valid response,Valid response,21.27143717206642,15.62089985541617,16.56791275646091,High,Low,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)"
8012566,Zug (ZG),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,7.477745982532732,6.271938785558026,7.447652643398569,Low,High,Advanced requirements & Alternative/non-assignable study programme,Vocational baccalaureate //VET,Vocational baccalaureate //VET,Vocational baccalaureate //VET
8012567,Zurich (ZH),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,50.06129198723648,54.96398996280519,51.41273014953006,Medium,High,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012568,Thurgau (TG),German,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,7.22855343301598,5.598092551415267,5.846871138535274,Low,Medium,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012569,Jura (JU),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,3.30316151191685,2.776162048242762,3.695120420369042,Low,Medium,Basic/low requirements,3-4 years VET,3-4 years VET,3-4 years VET
8012570,Thurgau (TG),German,Female,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,5.043583300505825,5.026016141769948,,Low,High,Advanced requirements & Alternative/non-assignable study programme,Vocational baccalaureate //VET,Vocational baccalaureate //VET,
8012585,Zurich (ZH),German,Male,Tertiary education,First generation (respondent and parent(s) born abroad),Valid response,Valid response,Valid response,68.43601443295969,78.75357637905225,73.31602118483302,High,Low,Basic/low requirements,2 years VET,3-4 years VET,3-4 years VET
8012586,Fribourg (FR),German,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,No valid response,3.958918526457115,3.927455306671169,,Low,Medium,Advanced requirements & Alternative/non-assignable study programme,"Other general education programme (specialized middle school, Waldorf)","Other general education programme (specialized middle school, Waldorf)",
8012588,Geneva (GE),French,Male,Tertiary education,Native (at least 1 parent born in Switzerland),Valid response,Valid response,Valid response,29.78693319980637,31.58470165593825,29.57495120853847,High,Medium,High requirements,General baccalaureate,General baccalaureate,General baccalaureate
8012592,Fribourg (FR),French,Male,Upper secondary education,Native (at least 1 parent born in Switzerland),Valid response,No valid response,No valid response,3.523596671795769,,,Medium,Medium,Basic/low requirements,Other intermediate solution,,
