t1valids;t2valids;t3valids;t4valids;t5valids;t6valids;t7valids;t8valids;t9valids;t1baum;t2baum;t3baum;t4baum;t5baum;t6baum;t7baum;t8baum;t9baum;sex;reg_ling;typ3;wlerlev3;hiseineu3cat;fmedu;id;hr1_kal;hr2_kal;hr3_kal;hr4_kal;hr5_kal;hr6_kal;hr7_kal;hr8_kal;hr9_kal
1;1;0;1;0;0;1;0;0;3;3;;5;;;3;;;2;2;1;2;3;2;107;27.14267255;40.33558641;120.7413754;114.3633108;130.7097158;149.1849781;185.8619604;228.8893069;211.5096283
1;1;1;1;1;0;0;0;0;3;3;5;5;5;;;;;2;2;1;2;2;2;108;6.022134137;5.381847793;5.113671381;4.292306926;5.073003633;;;;
1;1;1;1;1;1;1;1;1;4;4;6;6;4;8;8;8;1;2;2;1;3;3;2;109;4.011934477;3.68678848;3.58801118;3.007364509;2.96735358;2.564467369;1.979227218;2.11135198;1.732900349
1;1;1;1;1;1;1;1;1;2;3;5;5;1;1;1;1;1;2;2;2;1;1;2;110;21.55331403;29.10639097;21.47804468;16.88313715;17.34272448;17.09112668;12.57537217;13.43509062;21.44248157
1;1;1;1;1;1;1;1;1;2;2;5;5;5;5;4;1;1;1;1;2;1;2;1;111;19.17062923;21.07782573;22.66608421;34.62974529;25.39572902;27.549762;25.40473429;28.53598526;24.14854258
1;1;1;1;0;0;0;0;0;3;3;5;5;;;;;;1;1;;2;3;3;112;3.297529075;3.349137356;3.751802228;4.166571905;;;;;
1;1;1;1;1;1;0;0;0;4;3;5;5;3;3;;;;1;2;1;1;2;1;113;10.33710242;15.16379975;17.26212201;18.02725764;19.27608118;18.40689091;15.06717211;32.18847139;129.1916242
1;1;1;1;1;1;1;1;0;2;2;5;5;3;3;2;5;;1;1;2;2;3;3;114;16.25143147;16.46630399;17.07133294;18.47036791;13.87595294;15.40402336;16.34194271;27.34916297;28.87887897
1;1;1;1;1;1;1;1;1;1;3;5;5;5;1;5;1;3;1;1;1;3;2;3;115;18.00141236;18.94785897;20.31269062;19.34307742;19.33540537;20.3103581;19.69006409;20.64057634;19.17889438
0;1;1;0;0;0;0;0;0;;3;5;;;;;;;1;2;2;2;1;3;116;5.484717498;7.448572115;8.210934776;9.102150788;17.65899373;56.98131458;;;
1;1;1;1;1;1;1;0;0;2;2;4;5;5;5;1;;;1;2;;2;1;3;117;5.674836364;5.434006298;5.793921309;8.201968136;8.308769921;7.045077364;5.564527131;14.67461721;
1;1;1;1;1;1;1;1;1;3;3;5;3;8;8;8;1;1;2;2;1;3;3;2;118;23.57944049;20.30050721;18.97603975;15.98770084;15.12770415;13.23284235;10.01647907;10.30554547;8.394787392
1;1;1;1;1;1;1;1;1;3;3;5;1;1;1;;1;1;2;1;2;2;1;1;119;61.78607873;59.14193605;61.88269086;65.37982435;54.48813363;55.83921127;61.5197233;152.0336123;125.5790996
1;0;0;0;0;0;0;0;0;3;;;;;;;;;2;2;;2;2;3;120;2.97357285;3.346254706;;;;;;;
1;1;1;1;0;0;0;0;0;3;3;5;4;;;;;;1;1;1;3;2;2;121;6.960564492;7.013467408;7.294521026;7.608935112;7.71053385;11.54216713;;;
1;1;1;1;1;1;1;1;1;4;1;5;5;5;1;1;1;1;2;2;1;1;2;3;122;6.833462559;6.700370389;7.016845446;5.937165766;5.810836234;5.745724882;5.813544625;12.34242101;22.84231015
